,category,info_authority,info_display_parents,info_fossil_range,info_grandparent_authority,info_greatgrandparent_authority,info_image,info_image2,info_image2_alt,info_image2_caption,info_image_alt,info_image_caption,info_image_upright,info_image_widt,info_name,info_parent_authority,info_subdivision,info_subdivision_ranks,info_synonyms,info_synonyms_ref,info_taxon,info_type_genus,info_type_genus_authority,info_type_species,info_type_species_authority,ns,pageid,title,views,jp_cloned,jp_skeleton,jurassic,cretaceous,triassic,paleocene,permian
607,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,"Osborn, 1905",2,", {{Fossil range|68|66}}",,,Tyrannosaurus Rex Holotype.jpg,,,,,Reconstruction of the ''T. rex''  (CM 9380) at the ,1.15,,,,"*{{extinct}}''''?
*{{extinct}}''''?<small>, 2001",Other ,"{{collapsible list|bullets = true
 |title=
|'''''Dinotyrannus''''' 
|'''''Dynamosaurus''''' 
|'''''Manospondylus''''' 
|''''? 
|'''''Stygivenator''''' 
|''''? 
}}
{{collapsible list|bullets = true
 |title=
|''''? 
|''''? 
|''''? 
|''''? 
|''''? 
|''''? 
|''''? 
|''''? 
|'''''Manospondylus gigas''''' 
|'''''Dynamosaurus imperiosus''''' 
|'''''Tyrannosaurus imperiosus''''' 
|''''? 
|''''? 
|''''? 
|''''? 
|''''? 
|'''''Dinotyrannus megagracilis''''' 
|'''''Stygivenator molnari''''' 
}}",,Tyrannosaurus,,,{{extinct}}'''''Tyrannosaurus rex''''',"Osborn, 1905",0,30467,Tyrannosaurus,3958.013698630137,True,False,False,True,False,False,False
834,Category:Late Cretaceous dinosaurs of Asia|Category:Late Cretaceous dinosaurs of Asia,", 1924",,", {{fossil range|75|71}}",,,Velociraptor Wyoming Dinosaur Center.jpg,,,,,Mounted ''V. mongoliensis'' cast at ,,,,,"{{bold species list
| {{extinct}}V. mongoliensis|Osborn, 1924
| {{extinct}}V. osmolskae|Godefroit ''et al.'', 2008}}",Species,*''Dromaeosaurus mongoliensis''?,,Velociraptor,,,{{extinct}}'''''Velociraptor mongoliensis''''',"Osborn, 1924",0,32529,Velociraptor,2909.5534246575344,True,False,False,True,False,False,False
1020,Category:Late Cretaceous dinosaurs of Africa|Category:Early Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa|Category:Early Cretaceous dinosaurs of Africa|Category:Late Cretaceous dinosaurs of Africa|Category:Early Cretaceous dinosaurs of Africa,", 1915",,- record,,,Spinosaurus in Japan Expo.jpg,,,,,Reconstructed ''Spinosaurus'' skeleton in swimming posture,1.15,,,,,,"*?''Spinosaurus maroccanus'' 
*?''''",,Spinosaurus,,,'''''Spinosaurus aegyptiacus''''',"Stromer, 1915",0,747188,Spinosaurus,1761.5945205479452,True,False,False,True,False,False,False
610,Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America|Category:Late Cretaceous dinosaurs of North America,", 1889",,", {{Geological range|68|66|earliest=70}}",,,LA-Triceratops_mount-2.jpg,,,,,Skeletal mount of a ''T. prorsus'' specimen at the ,,,,,"{{extinct}}''T. horridus'' 
{{extinct}}''T. prorsus''",Species,"{{collapsible list|bullets = true|title=
|''''? 
|''''? 
|''Bison alticornis'' 
|''Sterrholophus'' 
|''''? 
|''Ugrosaurus'' 
|''''? 
|''''? 
|''''? 
|''''? }}",,Triceratops,,,{{extinct}}'''''Ceratops horridus''''',"Marsh, 1889",0,54410,Triceratops,1320.8602739726027,True,False,False,True,False,False,False
198,Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation,", 1877",,", {{Fossil range|155|150}}",,,Journal.pone.0138352.g001A.jpg,,,,,"Mounted skeleton of ''S. stenops'' (nicknamed ""Sophie""), , ",,,,,"* {{extinct}}'''''S. ungulatus''''' 
* {{extinct}}'''''S. stenops''''' 
* {{extinct}}'''''S. sulcatus'''''",Species,"* ''Hypsirhophus'' 
* ''Diracodon''",,Stegosaurus,,,{{extinct}}'''''Stegosaurus stenops''''',"Marsh, 1887",0,192790,Stegosaurus,1285.0054794520547,True,False,True,False,False,False,False
229,Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation,,,,,,,,,,,,,,,,,,,,,,,,,0,20598015,Brachiosaurus,1272.2602739726028,True,False,True,False,False,False,False
235,Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of Europe|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of Europe|Category:Late Jurassic dinosaurs of North America|Category:Dinosaurs of the Morrison Formation|Category:Late Jurassic dinosaurs of Europe,"Marsh, 1877",, record,,,Allosaurus SDNHM (1).jpg,,,,,"Mounted ''A. fragilis'' skeleton cast, ",1.15,,,", 1988","{{bold species list
|{{extinct}}A. fragilis|Marsh, 1877
|{{extinct}}A. atrox|Marsh, 1878
|{{extinct}}A. europaeus|Mateus ''et al.'', 2006
|{{extinct}}A. amplus|Marsh, 1879
|{{extinct}}A. lucasi|Dalman, 2014
}}",Species,"{{species list
| , 1870
| Creosaurus ''(A. atrox)''|Marsh, 1878
| , 1878
| Labrosaurus|Marsh, 1879
| |Bakker, 1990
| ?|Chure, 1995
| |Bakker, 1997
| ""Camptonotus"" amplus|Marsh, 1879}}",,Allosaurus,,,{{extinct}}'''''Allosaurus fragilis''''',"Marsh, 1877",0,1347,Allosaurus,1183.3698630136987,True,False,True,False,False,False,False
350,Category:Early Jurassic dinosaurs of North America|Category:Early Jurassic dinosaurs of North America|Category:Early Jurassic dinosaurs of North America,,,,,,,,,,,,,,,,,,,,,,,,,0,444541,Dilophosaurus,1149.6849315068494,True,False,True,False,False,False,False
1137,Category:Early Cretaceous dinosaurs of North America|Category:Early Cretaceous dinosaurs of North America|Category:Early Cretaceous dinosaurs of North America,", 1969",,", {{fossil range|115|108}}",,,Deinonychus FMNH.jpg,,,,,"Mounted skeleton cast, ",1.1,,,,,,* '' antirrhopus'',,Deinonychus,,,'''''Deinonychus antirrhopus''''',"Ostrom, 1969",0,236856,Deinonychus,1087.5780821917808,False,False,False,True,False,False,False
238,Category:Dinosaurs of the Morrison Formation|Category:Dinosaurs of the Morrison Formation|Category:Dinosaurs of the Morrison Formation,", 1879",,", {{Geological range|156.3|146.8}}",,,Brontosaurus Yale Peabody cropped.jpg,,,,,"Holotype specimen of ''B. excelsus'' (YPM 1980), ",1.15,,,,"* {{extinct}}'''''Brontosaurus parvus''''' 
* {{extinct}}'''''Brontosaurus yahnahpin'''''",Referred species,"* ''Elosaurus'' 
* ''Eobrontosaurus'' 
* '' excelsus''",,Brontosaurus,,,{{extinct}}'''''Brontosaurus excelsus''''',"Marsh, 1879",0,3635265,Brontosaurus,1077.6164383561643,False,True,False,False,False,False,False
